tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
XV-390909,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390910,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390911,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390912,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390913,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390914,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390915,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390916,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390917,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390921,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390922,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390923,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390924,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390925,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390926,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390927,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390929,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390930,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390931,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390932,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390933,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390934,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390935,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390936,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390937,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390941,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390942,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390943,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390944,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390945,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390946,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390947,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390949,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390950,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390951,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390952,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390953,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390954,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390955,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390956,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390957,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390971,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390972,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390973,8.0 / 1.0 BAR,FO,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390974,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390975,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390976,8.0 / 1.0 BAR,FO,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390977,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390978,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390979,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,40 MM,,VI,PTFE
