tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
HV-308608,208 / 23 BAR,FC,FISHER-GULDE/HPS,GLOBE VALVE,19 MM,0.7…1.8 BAR G,416SST,,416SST,25 MM,,IV,TFE
HV-308609,208 / 1 BAR,FC,FISHER-GULDE/1051.31,ANGLE VALVE,32 MM,1.0…1.8 BAR G,1.4571,,1.4571,47 MM,PARTLY STELLITED,V,TFE-03
HV-308611,208 / 194 BAR A,FL / FC,NELES /L4H/DNU150,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,1.4401 /17-4PH,STEP SEAT,150 MM,,III,GRAPHITE
HV-308621,258 /1.0 BAR A,FC,FISHER-GULDE/1051.00,ANGLE VALVE,32 MM,1.35...2.25 BAR,1.4571,,1.4571,25 MM,,IV,SET-81
HV-310602,52 /1.0 BAR A,N/A,FISHER-GULDE/1051.00,ANGLE VALVE,N/A,N/A,1.4122,,1.4122,,HARD FACING,IV,SET-81
HV-320601,4.0 /1.0 BAR A,FC,NELES /L1CMA80,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR.F316/AISI329,INCOLOY 825,80 MM,,IV,PTFE
HV-320610,4.2 /1.0 BAR A,FO,FISHER-GULDE/1018.10,GLOBE VALVE,80 MM,2.2…2.8 BAR,1.4571,,1.4571,192 MM,,V,TFE-03
HV-322602,,,,,,,,,,,,,
HV-322604,160 / 4 BAR,FO,FISHER-GULDE/1089.10,ANGLE VALVE,25 MM,0.2…0.83 BAR G,FERRAL IUM 255,,FERRAL IUM 255,8 MM,,IV,AROSTAT 6204
HV-322605,147 /142.0 BAR A,FC,FISHER-CULDE/1089.10,ANGLE VALVE,55 MM,1.1...2.0 BAR G,FERRAL IUM 255,,FERRAL IUM 255,185 MM,,IV,ARAM. PTFE
HV-323605,/1.0 BAR A,FO,NELES /L1CMA400,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A351 GR. CF8M/AISI329,INCOLOY 825,400 MM,,IV,PTFE
