Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,FV-32403,4/10/2015 0:00,"No leakage found at pressure test, actuator and movement test are ok.",,
AFC 2,FV-32403,24-8-2019,"Machining for its internals, leak test and check for its movement",,
AFC 2,FV-32404,2/1/2021 0:00,Change With Another One,,
AFC 2,FV-32404,10/1/2021 0:00,Change With Another One,,
AFC 2,FV-32406,20/12/2020,change body,,
AFC 2,FV-32429,28-6-2015,Tight the gland ,,
AFC 2,FV-32453,4/10/2015 0:00,"Actuator yoke was broken from one side, replace it, no leakage found at pressure test, actuator and movement test are ok.",,
AFC 2,FV-32453,21-8-2019,"Change bushing, check its movement",,
AFC 2,FV-32453,16/12/2022,Tighted for the Bonit & Change Bushing With New,,
AFC 2,FV-32454,10/1/2021 0:00,Flushing,,
AFC 2,FV-32454,3/16/2022 0:00,change actuator in filed,,
AFC 2,FV-32456,9/10/2015 0:00,"Replace ceramic disc and sealing kit, test is ok.",,
AFC 2,FV-32456,19/9/2021,Change Boudy By Aonther One,,
AFC 2,FV-81401,,,,alaa & mostafa / 5hrs
AFC 2,FV-82401,7/10/2015 0:00,"Dismantle valves from pipe line, check for movement and internals found OK, valve opening adjusted to 90 deg. by releasing the opening stopper, Leakage through found, replace seat, cleaning and lapping for disc, movement and pressure test are ok.",,
AFC 2,HV-03607,7/10/2015 0:00,"Heavy leakage found at pressure test, dismantle internals for machining , Heavy leakage found due to plug and seat erosion, replace plug, seat and packing, pressure test up to 250 bar is ok.",,
AFC 2,HV-03607,27-8-2019,"Change plug and seat, leak test and check movement",,
AFC 2,HV-03610,10/10/2015 0:00,Tight gland,,
AFC 2,HV-07611,11/10/2015 0:00,"Leakage through found, machining for plug, seat, body flanges, replace packing and gaskets, pressure test up to 50 bar is ok.",,
AFC 2,HV-07611,24-8-2019,Dismount and send to workshop,,
AFC 2,HV-07611,28-8-2019,"Machining for plug and change seat, leak test and check movement",,
AFC 2,HV-08603,26/12/2020,handwheel release,,
AFC 2,HV-08604,16-10-2015,"Change graphite packing and bottom flange gasket, movement test is ok.",,
AFC 2,HV-08604,26/12/2020,handwheel release,,
AFC 2,HV-08605,14-10-2015,Replace packing and bottom flange gasket.,,
AFC 2,HV-08605,26/12/2020,handwheel release,,
AFC 2,HV-08606,15-10-2015,"Replace actuator, due to air leakage, packing and bottom flange gasket.",,
