warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200001292,0190506870111440,NEW,O-Ring Dash 335 Eco 13178,,,,PC,ZSPR
10,2200001293,0190506870111450,NEW,Seal Backup Ring 3.12 * Dash,,,,PC,ZSPR
10,2200001294,0190506870111460,NEW,Guide Liner 2.00 Stem Ptfe (1),,,,PC,ZSPR
10,2200001295,0190506870111470,NEW,Guide Retainer 2.00 Stem (1),,,,PC,ZSPR
10,2200001296,0190506870111480,NEW,Guide Liner 2.00 Stem Ptfe (2),,,,PC,ZSPR
10,2200001297,0190506870111490,NEW,Guide Retainer 2.00 Stem (2),,,,PC,ZSPR
10,2200001298,0190506870111500,NEW,Packing Set (4),,,,PC,ZSPR
10,2200001299,0190506870111510,NEW,Bellows Stem Size 100/200 4str (1),,,,PC,ZSPR
10,2200001300,0190506870111520,NEW,Gasket Elastomer 3.12*1.50,,,,PC,ZSPR
10,2200001301,0190506870111530,NEW,Bushing 2.62*2.25 0.94 L Eco (2),,,,PC,ZSPR
10,2200001302,0190506870111540,NEW,O-Ring Dash 450 (3),,,,PC,ZSPR
10,2200001303,0190506870111550,NEW,O-Ring Dash 024 (1),,,,PC,ZSPR
10,2200001304,0190506870111560,NEW,O-Ring Dash 450 (1),,,,PC,ZSPR
10,2200001305,0190506870111570,NEW,O-Ring Dash 331 (2),,,,PC,ZSPR
10,2200001306,0190506870111580,NEW,Seat Ring 1 Tno.38 150/600,,,,PC,ZSPR
10,2200001307,0190506870111590,NEW,Seat Ret Mgstrm 1 150/600,,,,PC,ZSPR
10,2200001308,0190506870111610,NEW,Gasket Spiral 1.69*1.31,,,,PC,ZSPR
10,2200001309,0190506870111620,NEW,Gasket Spiral 2.50*2.12,,,,PC,ZSPR
10,2200001310,0190506870111630,NEW,Guide Linder 0.56 Stem Ptfe,,,,PC,ZSPR
10,2200001311,0190506870111640,NEW,Guide Retainer 0.56 Stem (1),,,,PC,ZSPR
10,2200001312,0190506870111650,NEW,Guide Liner 0.56 Stem Ptfe,,,,PC,ZSPR
10,2200001313,0190506870111660,NEW,Guide Retainer 0.56 Stem (2),,,,PC,ZSPR
10,2200001314,0190506870111670,NEW,Packing Set (1),,,,PC,ZSPR
10,2200001315,0190506870111680,NEW,Bellows Stem Size 100/200 4str (2),,,,PC,ZSPR
10,2200001316,0190506870111690,NEW,Gasket Elastomer 1.31*0.750,,,,PC,ZSPR
10,2200001317,0190506870111700,NEW,Bushing 2.62*2.25 0.94 L Eco (1),,,,PC,ZSPR
10,2200001318,0190506870111710,NEW,O-Ring Dash 450 (2),,,,PC,ZSPR
10,2200001319,0190506870111720,NEW,O-Ring Dash 024 (2),,,,PC,ZSPR
10,2200001320,0190506870111730,NEW,O-Ring Dash 450 (4),,,,PC,ZSPR
10,2200001321,0190506870111740,NEW,O-Ring Dash 331 (1),,,,PC,ZSPR
10,2200001322,0190506870111800,NEW,Plug Mgstrm 1=% Tn0.38,,,,PC,ZSPR
10,2200001323,0190506870111810,NEW,Pressure Complete Controle Valve,,,,PC,ZSPR
10,2200001324,0190506870280019,NEW,Bellowsingl Wall 50 Corrugations Of 1451,,,,PC,ZSPR
10,2200001325,0190506870280023,NEW,Gasket Of It O204176x1,,,,PC,ZSPR
10,2200001224,0190506870280038,NEW,Gasket Of It O176146x1,,,,PC,ZSPR
10,2200001225,0190506870280042,NEW,Gasket Of It O 12194x1,,,,PC,ZSPR
10,2200001226,0190506870280057,NEW,Bellow Double Wall 40 Corrugations Of 14,,,,PC,ZSPR
10,2200001227,0190506870280061,NEW,Gasket Of It O 164140x1,,,,PC,ZSPR
10,2200001228,0190506870280076,NEW,Gasket Of It O 176146x1,,,,PC,ZSPR
10,2200001229,0190506870280081,NEW,Gasket Of It O 8850x1,,,,PC,ZSPR
10,2200001230,0190506870280090,NEW,Gasket Of It O 5038x1,,,,PC,ZSPR
10,2200001231,0190506870280102,NEW,Diaphragm Of 603 Af 1000 1005x2,,,,PC,ZSPR
10,2200001232,0190506870280141,NEW,Oring No135 Gasket Of Ito 150116x1,,,,PC,ZSPR
10,2200001233,0190506870280155,NEW,Oring No112,,,,PC,ZSPR
10,2200001234,0190506870280160,NEW,Gasket Of It O 8874x1,,,,PC,ZSPR
10,2200001235,0190506870280174,NEW,Gasket Of It O 5850x1,,,,PC,ZSPR
10,2200001236,0190506870280189,NEW,Bellow Dou Ble Wall20 Corrugation Sof 14,,,,PC,ZSPR
10,2200001237,0190506870280198,NEW,Cone Gasket Of Nyhapren 3720x1,,,,PC,ZSPR
10,2200001238,0190506870280201,NEW,Oring No111,,,,PC,ZSPR
10,2200001239,0190506870280215,NEW,Gasket Of It O 8844x1,,,,PC,ZSPR
10,2200001240,0190506870280220,NEW,Gasket Of It O 5844x1,,,,PC,ZSPR
